date,cafe_location,sku,qty_sold,list_unit_price,unit_cost
1/01/2017,warehouse,DRINK-FLATWHITE,78,5.5,3.83
1/01/2017,warehouse,DRINK-LATTE,59,5.5,3.83
1/01/2017,warehouse,DRINK-CAP,35,5.5,3.83
1/01/2017,warehouse,DRINK-LONGBLACK,39,5,3.63
1/01/2017,warehouse,DRINK-ESP,20,4.5,3.53
1/01/2017,warehouse,DRINK-MOCHA,14,6,4.23
1/01/2017,warehouse,DRINK-CHAI-LATTE,12,6,4.13
1/01/2017,warehouse,DRINK-HOT-CHOC,2,6,4.33
1/01/2017,warehouse,DRINK-ICED-LATTE,10,6.5,4.43
1/01/2017,warehouse,FOOD-CROISSANT,4,6,4.83
1/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,12,5.5,4.63
1/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,2,9.5,6.63
1/01/2017,warehouse,FOOD-SCONE-CHEESE,6,5,4.43
1/01/2017,warehouse,FOOD-BANANA-BREAD,18,6,5.13
1/01/2017,warehouse,MOD-ALT-MILK,25,0.8,3.13
2/01/2017,warehouse,DRINK-FLATWHITE,49,5.5,3.94
2/01/2017,warehouse,DRINK-LATTE,74,5.5,3.94
2/01/2017,warehouse,DRINK-CAP,41,5.5,3.94
2/01/2017,warehouse,DRINK-LONGBLACK,21,5,3.74
2/01/2017,warehouse,DRINK-ESP,25,4.5,3.64
2/01/2017,warehouse,DRINK-MOCHA,14,6,4.34
2/01/2017,warehouse,DRINK-CHAI-LATTE,12,6,4.24
2/01/2017,warehouse,DRINK-HOT-CHOC,4,6,4.44
2/01/2017,warehouse,DRINK-ICED-LATTE,4,6.5,4.54
2/01/2017,warehouse,FOOD-CROISSANT,8,6,4.94
2/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,12,5.5,4.74
2/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,12,9.5,6.74
2/01/2017,warehouse,FOOD-SCONE-CHEESE,14,5,4.54
2/01/2017,warehouse,FOOD-BANANA-BREAD,8,6,5.24
2/01/2017,warehouse,FOOD-COOKIE-CHOC,2,4.5,4.34
2/01/2017,warehouse,MOD-ALT-MILK,21,0.8,3.24
3/01/2017,warehouse,DRINK-FLATWHITE,78,5.5,3.15
3/01/2017,warehouse,DRINK-LATTE,98,5.5,3.15
3/01/2017,warehouse,DRINK-CAP,45,5.5,3.15
3/01/2017,warehouse,DRINK-LONGBLACK,45,5,2.95
3/01/2017,warehouse,DRINK-ESP,29,4.5,2.85
3/01/2017,warehouse,DRINK-MOCHA,2,6,3.55
3/01/2017,warehouse,DRINK-CHAI-LATTE,23,6,3.45
3/01/2017,warehouse,DRINK-HOT-CHOC,4,6,3.65
3/01/2017,warehouse,DRINK-ICED-LATTE,2,6.5,3.75
3/01/2017,warehouse,FOOD-CROISSANT,12,6,4.15
3/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,18,5.5,3.95
3/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,8,9.5,5.95
3/01/2017,warehouse,FOOD-SCONE-CHEESE,20,5,3.75
3/01/2017,warehouse,FOOD-BANANA-BREAD,18,6,4.45
3/01/2017,warehouse,FOOD-COOKIE-CHOC,14,4.5,3.55
3/01/2017,warehouse,MOD-ALT-MILK,37,0.8,2.45
4/01/2017,warehouse,DRINK-FLATWHITE,43,5.5,4.22
4/01/2017,warehouse,DRINK-LATTE,59,5.5,4.22
4/01/2017,warehouse,DRINK-CAP,16,5.5,4.22
4/01/2017,warehouse,DRINK-LONGBLACK,37,5,4.02
4/01/2017,warehouse,DRINK-ESP,27,4.5,3.92
4/01/2017,warehouse,DRINK-MOCHA,10,6,4.62
4/01/2017,warehouse,DRINK-CHAI-LATTE,6,6,4.52
4/01/2017,warehouse,DRINK-HOT-CHOC,4,6,4.72
4/01/2017,warehouse,DRINK-ICED-LATTE,8,6.5,4.82
4/01/2017,warehouse,FOOD-CROISSANT,14,6,5.22
4/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,12,5.5,5.02
4/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,14,9.5,7.02
4/01/2017,warehouse,FOOD-SCONE-CHEESE,6,5,4.82
4/01/2017,warehouse,FOOD-BANANA-BREAD,4,6,5.52
4/01/2017,warehouse,FOOD-COOKIE-CHOC,12,4.5,4.62
4/01/2017,warehouse,MOD-ALT-MILK,21,0.8,3.52
5/01/2017,warehouse,DRINK-FLATWHITE,94,5.5,3.08
5/01/2017,warehouse,DRINK-LATTE,55,5.5,3.08
5/01/2017,warehouse,DRINK-CAP,57,5.5,3.08
5/01/2017,warehouse,DRINK-LONGBLACK,33,5,2.88
5/01/2017,warehouse,DRINK-ESP,37,4.5,2.78
5/01/2017,warehouse,DRINK-MOCHA,10,6,3.48
5/01/2017,warehouse,DRINK-CHAI-LATTE,16,6,3.38
5/01/2017,warehouse,DRINK-HOT-CHOC,10,6,3.58
5/01/2017,warehouse,DRINK-ICED-LATTE,14,6.5,3.68
