invoice_id,date,customer_id,salesperson_id,segment,sku,qty,list_unit_price,discount_pct,unit_cost
CI201908000001,6/08/2019,C00001,SP004,office,BEAN-HOUSE-5KG,8,230,0.311,134.92
CI201909000002,5/09/2019,C00001,SP004,office,BEAN-HOUSE-5KG,4,230,0.32,135.25
CI201701003024,13/01/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.116,150
CI201910000003,5/10/2019,C00001,SP004,office,BEAN-HOUSE-5KG,2,230,0.185,135.59
CI201701003025,20/01/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.127,150
CI201910000003,5/10/2019,C00001,SP004,office,BEAN-SINGLE-ETH-5KG,2,260,0.301,206.09
CI201911000004,4/11/2019,C00001,SP004,office,BEAN-HOUSE-5KG,6,230,0.286,135.92
CI201912000005,4/12/2019,C00001,SP004,office,BEAN-HOUSE-5KG,2,230,0.32,136.25
CI201702000727,1/02/2017,C00014,SP003,restaurant,BEAN-ESPRESSO-5KG,2,240,0.138,150.37
CI201912000005,4/12/2019,C00001,SP004,office,BEAN-SINGLE-ETH-5KG,2,260,0.208,207.11
CI201902000006,13/02/2019,C00002,SP001,restaurant,BEAN-HOUSE-5KG,6,230,0.023,132.94
CI201903000007,13/03/2019,C00002,SP001,restaurant,BEAN-HOUSE-5KG,2,230,0,133.27
CI201702001978,1/02/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,8,240,0.122,150.37
CI201903000007,13/03/2019,C00002,SP001,restaurant,BEAN-SINGLE-COL-5KG,2,260,0.019,207.9
CI201702003027,3/02/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0.093,150.37
CI201904000008,10/04/2019,C00002,SP001,restaurant,BEAN-SINGLE-ETH-5KG,2,260,0.011,203.07
CI201703001983,8/03/2017,C00040,SP003,independent_cafe,BEAN-DECAF-1KG,2,65,0.093,32.16
CI201905000009,8/05/2019,C00002,SP001,restaurant,BEAN-HOUSE-5KG,2,230,0,133.93
CI201702001979,8/02/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.105,150.37
CI201702003028,10/02/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,6,240,0.109,150.37
CI201907000011,3/07/2019,C00002,SP001,restaurant,BEAN-HOUSE-5KG,2,230,0.02,134.59
CI201703001984,15/03/2017,C00040,SP003,independent_cafe,BEAN-DECAF-1KG,4,65,0.119,32.16
CI201907000012,31/07/2019,C00002,SP001,restaurant,BEAN-HOUSE-5KG,2,230,0,134.59
CI201702001980,15/02/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,8,240,0.104,150.37
CI201907000012,31/07/2019,C00002,SP001,restaurant,BEAN-SINGLE-ETH-5KG,2,260,0.049,204.57
CI201908000013,28/08/2019,C00002,SP001,restaurant,BEAN-HOUSE-5KG,6,230,0.031,134.92
CI201702003029,17/02/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,6,240,0.107,150.37
CI201702001981,22/02/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.123,150.37
CI201703003034,24/03/2017,C00058,SP003,independent_cafe,BEAN-DECAF-1KG,2,65,0.09,32.16
CI201910000015,23/10/2019,C00002,SP001,restaurant,BEAN-HOUSE-5KG,6,230,0,135.59
CI201910000015,23/10/2019,C00002,SP001,restaurant,BEAN-SINGLE-ETH-5KG,2,260,0.019,206.09
CI201702003030,24/02/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,6,240,0.101,150.37
CI201912000017,18/12/2019,C00002,SP001,restaurant,BEAN-HOUSE-5KG,4,230,0,136.25
CI201805000018,25/05/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.095,130.02
CI201703001982,1/03/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0.064,150.74
CI201805000018,25/05/2018,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0,197.64
CI201805000018,25/05/2018,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,2,260,0.14,202.84
CI201806000019,1/06/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0,130.35
CI201703003031,3/03/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,8,240,0,150.74
CI201806000019,1/06/2018,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,4,260,0,203.34
CI201806000020,8/06/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.085,130.35
CI201703001983,8/03/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0.14,150.74
CI201806000021,15/06/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,4,230,0.108,130.35
CI201703003032,10/03/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,8,240,0.116,150.74
CI201806000022,22/06/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,8,230,0.12,130.35
CI201703003033,17/03/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.14,150.74
CI201806000023,29/06/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.125,130.35
CI201703001985,22/03/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0.126,150.74
CI201806000023,29/06/2018,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,2,260,0.06,203.34
CI201703003034,24/03/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0.125,150.74
CI201807000025,13/07/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,4,230,0.14,130.67
CI201703000729,29/03/2017,C00014,SP003,restaurant,BEAN-ESPRESSO-5KG,4,240,0.121,150.74
CI201703002383,25/03/2017,C00046,SP004,independent_cafe,BEAN-DECAF-1KG,4,65,0.302,32.16
CI201807000026,20/07/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.108,130.67
CI201703001986,29/03/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0.14,150.74
CI201807000026,20/07/2018,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.093,198.61
CI201807000027,27/07/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,8,230,0.14,130.67
CI201703003035,31/03/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0,150.74
CI201808000028,3/08/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,4,230,0.14,130.99
CI201704002384,1/04/2017,C00046,SP004,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0.32,151.11
CI201808000028,3/08/2018,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.11,199.1
CI201808000029,10/08/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.126,130.99
CI201704001987,5/04/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0.129,151.11
CI201808000029,10/08/2018,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,4,260,0.102,199.1
CI201704003036,7/04/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,6,240,0.132,151.11
CI201808000030,17/08/2018,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,2,260,0.106,204.34
CI201704002385,8/04/2017,C00046,SP004,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.235,151.11
CI201808000031,24/08/2018,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0,199.1
CI201808000032,31/08/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.084,130.99
CI201704001988,12/04/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,6,240,0.096,151.11
CI201808000032,31/08/2018,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.126,199.1
CI201809000033,7/09/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,4,230,0,131.31
CI201704003037,14/04/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,8,240,0.108,151.11
CI201809000033,7/09/2018,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.13,199.59
CI201809000034,14/09/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.104,131.31
CI201704002386,15/04/2017,C00046,SP004,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.202,151.11
CI201704003036,7/04/2017,C00058,SP003,independent_cafe,BEAN-DECAF-1KG,2,65,0.14,32.24
